 27 1996-12-24T16:23 LLAMAICEC Wind       None       None       None       None       None       None       None       None      -4.72       8.41       0.76      10.83     335.11   32464.15      12.67       0.82
 28 1997-01-10T00:52      CDAW Wind      -2.27       5.07      -1.93       9.40     444.75   79373.78      12.23       1.43      -5.05      -7.16      -1.78      14.56     438.57   26392.71      12.11       0.37
 28 1997-01-10T00:52    DREAMS Wind      -2.61       4.76      -0.64       8.87     441.08   86306.66      13.41       1.62      -4.94      -6.53      -1.41      14.65     438.73   26395.63      13.58       0.39
 28 1997-01-10T00:52   Lepping Wind       None       None       None       None       None       None       None       None      -5.05      -7.16      -1.78      14.56     438.57   26392.71      12.11       0.37
 28 1997-01-10T00:52        RC Wind      -2.20       4.62      -0.73       9.18     438.93   82897.31      13.10       1.42      -4.87      -6.42      -2.22      14.25     440.47   29636.79      11.47       0.42
 28 1997-01-10T00:52      Wind Wind      -2.50       4.74      -0.86       8.93     441.74   85521.58      13.28       1.59      -4.93      -6.50      -1.36      14.60     438.48   27641.79      13.82       0.57
 28 1997-01-10T00:52 LLAMAICEA Wind      -2.50       4.74      -0.86       8.93     441.74   85521.58      13.28       1.59      -4.93      -6.50      -1.36      14.60     438.48   27641.79      13.82       0.57
 29 1997-02-09T12:50    DREAMS Wind       0.66       0.40      -1.71       6.40     588.03  163110.05       6.60       9.98       3.77      -0.77      -6.37       7.81     459.88   40334.23       1.20       0.18
 29 1997-02-09T12:50      Jian Wind       0.68       0.17      -1.72       6.42     588.12  158766.51       6.44      10.04       3.67      -0.78      -6.23       7.67     461.22   41397.93       1.30       0.61
 29 1997-02-09T12:50   Lepping Wind       None       None       None       None       None       None       None       None       3.76      -0.73      -6.54       7.92     456.76   38838.23       1.13       0.15
 29 1997-02-09T12:50        RC Wind       0.86       0.26      -1.90       6.60     589.33  165016.37       6.48      10.16       3.44      -0.68      -5.90       7.48     466.06   42713.30       1.56       0.84
 29 1997-02-09T12:50      Wind Wind       0.67       0.37      -1.72       6.39     587.67  162608.83       6.58       9.93       3.81      -0.76      -6.42       7.87     458.77   38970.57       1.17       0.16
 29 1997-02-09T12:50 LLAMAICEA Wind       0.67       0.37      -1.72       6.39     587.67  162608.83       6.58       9.93       3.81      -0.76      -6.42       7.87     458.77   38970.57       1.17       0.16
 29 1997-02-09T12:50 LLAMAICEC Wind       0.95       3.20       0.99       6.74     599.85  272452.08       8.67      33.35       2.52      -0.69      -4.92       7.23     509.27   74284.72       3.08       0.89
 30 1997-02-11T04:15      Jian Wind       None       None       None       None       None       None       None       None       0.12       2.17      -3.27       5.46     399.45   22970.23      12.39       3.23
 31 1997-04-11T04:44    DREAMS Wind       None       None       None       None       None       None       None       None       5.73      -0.20      19.00      20.38     464.71   44090.38      12.62       0.25
 31 1997-04-11T04:44      Jian Wind       None       None       None       None       None       None       None       None       3.16       1.48      17.01      18.82     462.41   62253.90      13.48       0.40
 31 1997-04-11T04:44   Lepping Wind       None       None       None       None       None       None       None       None       2.33       1.91      15.57      18.07     463.82   73116.98      14.28       0.86
